test_acc,test_f1,test_auc,best_f1,best_auc,best_epoch,fold,model,iter
0.8512396694214877,0.8428138706213573,0.9435156602254934,0.8428138706213573,0.9435156602254934,34.0,traditional,,
0.8677685950413223,0.8643998425816607,0.9537254899233664,0.8643998425816607,0.9537254899233664,18.0,,vlocal,0.0
0.7933884297520661,0.7640106015486615,0.9296666387009186,0.7640106015486615,0.9296666387009186,23.0,,simulated_local_0,0.0
0.7603305785123967,0.7229890403444122,0.9218345853789474,0.7229890403444122,0.9218345853789474,33.0,,simulated_local_1,0.0
0.7851239669421488,0.7663208146913121,0.9457810104388498,0.7663208146913121,0.9457810104388498,40.0,,simulated_local_2,0.0
0.7933884297520661,0.7650555138158444,0.9024374453401562,0.7650555138158444,0.9024374453401562,48.0,,simulated_local_3,0.0
0.7355371900826446,0.7014575908373699,0.9158989613308942,0.7014575908373699,0.9158989613308942,49.0,,simulated_local_4,0.0
0.8016528925619835,0.7780277139128813,0.94456761662651,,,,,fedavg,0.0
0.8512396694214877,0.8478119283314087,0.9480202571762384,0.8478119283314087,0.9480202571762384,41.0,,vlocal,1.0
0.8347107438016529,0.8214614586515412,0.9495443036067982,0.8214614586515412,0.9495443036067982,42.0,,simulated_local_0,1.0
0.8429752066115702,0.8201556019737839,0.9459783334685631,0.8201556019737839,0.9459783334685631,42.0,,simulated_local_1,1.0
0.8429752066115702,0.8378217972687739,0.9562221684284175,0.8378217972687739,0.9562221684284175,39.0,,simulated_local_2,1.0
0.8264462809917356,0.8133321992732564,0.9203785715700433,0.8133321992732564,0.9203785715700433,40.0,,simulated_local_3,1.0
0.8264462809917356,0.805187649815749,0.9289887079172161,0.805187649815749,0.9289887079172161,9.0,,simulated_local_4,1.0
0.8512396694214877,0.835976304397357,0.9492979936564462,,,,,fedavg,1.0
0.8677685950413223,0.8650798143326163,0.9635156462320789,0.8650798143326163,0.9635156462320789,48.0,,vlocal,2.0
0.859504132231405,0.8467382697047768,0.953471955468854,0.8467382697047768,0.953471955468854,44.0,,simulated_local_0,2.0
0.8512396694214877,0.8464661501115146,0.9510448468044834,0.8464661501115146,0.9510448468044834,34.0,,simulated_local_1,2.0
0.859504132231405,0.8449051860172778,0.9580282895426246,0.8449051860172778,0.9580282895426246,12.0,,simulated_local_2,2.0
0.8512396694214877,0.8384012519646938,0.9242019039805661,0.8384012519646938,0.9242019039805661,25.0,,simulated_local_3,2.0
