test_acc,test_f1,test_auc,best_f1,best_auc,best_epoch,fold,model,iter
0.859504132231405,0.8528301478178375,0.9528967066408706,0.8528301478178375,0.9528967066408706,48.0,traditional,,
0.859504132231405,0.8548325589198572,0.9473754310264921,0.8548325589198572,0.9473754310264921,28.0,,vlocal,0.0
0.8016528925619835,0.7806369479923199,0.9365466959119476,0.7806369479923199,0.9365466959119476,40.0,,simulated_local_0,0.0
0.7768595041322314,0.7413779625830337,0.9351878709270436,0.7413779625830337,0.9351878709270436,19.0,,simulated_local_1,0.0
0.8016528925619835,0.778366414730051,0.9420477737193591,0.778366414730051,0.9420477737193591,20.0,,simulated_local_2,0.0
0.7851239669421488,0.7577780913798567,0.8973209536481397,0.7577780913798567,0.8973209536481397,41.0,,simulated_local_3,0.0
0.743801652892562,0.7049869133729123,0.9022718314128926,0.7049869133729123,0.9022718314128926,45.0,,simulated_local_4,0.0
0.008264462809917356,0.00013548299688389108,0.438780473165399,,,,,fedavg,0.0
0.859504132231405,0.8542217748985252,0.9411441520018926,0.8542217748985252,0.9411441520018926,14.0,,vlocal,1.0
0.8347107438016529,0.8146156873429601,0.9444916599716077,0.8146156873429601,0.9444916599716077,16.0,,simulated_local_0,1.0
0.8099173553719008,0.7945746605856021,0.9488973095761245,0.7945746605856021,0.9488973095761245,36.0,,simulated_local_1,1.0
0.8512396694214877,0.8415539217984592,0.9458457872222571,0.8415539217984592,0.9458457872222571,6.0,,simulated_local_2,1.0
0.8347107438016529,0.8160485978667795,0.9240255968682075,0.8160485978667795,0.9240255968682075,25.0,,simulated_local_3,1.0
0.8016528925619835,0.778740837722402,0.9122850096472104,0.778740837722402,0.9122850096472104,42.0,,simulated_local_4,1.0
0.024793388429752067,0.0011996800853105837,0.4692716251783075,,,,,fedavg,1.0
0.8512396694214877,0.8502213856489175,0.9426183133380697,0.8502213856489175,0.9426183133380697,13.0,,vlocal,2.0
0.8512396694214877,0.8371418055628582,0.9506673742536332,0.8371418055628582,0.9506673742536332,24.0,,simulated_local_0,2.0
0.8429752066115702,0.8292628490944702,0.9490970389658235,0.8292628490944702,0.9490970389658235,38.0,,simulated_local_1,2.0
0.8429752066115702,0.8381347520103499,0.9476933788446732,0.8381347520103499,0.9476933788446732,27.0,,simulated_local_2,2.0
0.8512396694214877,0.8356677299774474,0.9281704353099253,0.8356677299774474,0.9281704353099253,21.0,,simulated_local_3,2.0
0.8264462809917356,0.8143886416613688,0.9327639299355629,0.8143886416613688,0.9327639299355629,18.0,,simulated_local_4,2.0
0.3140495867768595,0.21077153474957014,0.39074996753406005,,,,,fedavg,2.0
0.859504132231405,0.8546160909797273,0.95404348950812,0.8546160909797273,0.95404348950812,5.0,,vlocal,3.0
0.8512396694214877,0.8420131383767747,0.947143813866321,0.8420131383767747,0.947143813866321,21.0,,simulated_local_0,3.0
0.8429752066115702,0.8331171858444584,0.9495957563763006,0.8331171858444584,0.9495957563763006,44.0,,simulated_local_1,3.0
0.859504132231405,0.8581620399802217,0.9521603922868794,0.8581620399802217,0.9521603922868794,11.0,,simulated_local_2,3.0
0.8677685950413223,0.8592888189133073,0.9313305426233598,0.8592888189133073,0.9313305426233598,32.0,,simulated_local_3,3.0
0.8512396694214877,0.8401480113133765,0.911579902739201,0.8401480113133765,0.911579902739201,18.0,,simulated_local_4,3.0
0.008264462809917356,0.00013548299688389108,0.6172089370116008,,,,,fedavg,3.0
0.859504132231405,0.8538265040744378,0.9492795071928034,0.8538265040744378,0.9492795071928034,4.0,,vlocal,4.0
0.8347107438016529,0.8316585008243864,0.9478585845071201,0.8316585008243864,0.9478585845071201,16.0,,simulated_local_0,4.0
