test_acc,test_f1,test_auc,best_epoch,fold,model,iter
0.6115702479338843,0.5103896554005728,0.8341763771548137,21.0,traditional,,
0.6115702479338843,0.5124402733031392,0.8127065451682532,13.0,,vlocal,0.0
0.6198347107438017,0.5270060330960596,0.7825752231363228,32.0,,simulated_local_0,0.0
0.6446280991735537,0.5410112858793211,0.7944414156436421,44.0,,simulated_local_1,0.0
0.39669421487603307,0.3354767853710771,0.5605869954576439,1.0,,simulated_local_2,0.0
0.5619834710743802,0.4594459558886437,0.7643868137024725,40.0,,simulated_local_3,0.0
0.4297520661157025,0.27587331083834576,0.7956010041913609,49.0,,simulated_local_4,0.0
0.5702479338842975,0.4664964259063396,0.7877048706574747,,,fedavg,0.0
0.628099173553719,0.5295569062347231,0.8086548076419325,8.0,,vlocal,1.0
0.6363636363636364,0.5396670508172312,0.8099264738968351,9.0,,simulated_local_0,1.0
0.628099173553719,0.5293554609393409,0.7925196548170051,1.0,,simulated_local_1,1.0
0.5867768595041323,0.4825097050299626,0.8117333451423159,42.0,,simulated_local_2,1.0
0.5950413223140496,0.49495170765707464,0.7926195188805013,28.0,,simulated_local_3,1.0
0.5950413223140496,0.4933248569612206,0.8158760880172837,40.0,,simulated_local_4,1.0
0.6033057851239669,0.5036155055563782,0.8060319965811137,,,fedavg,1.0
0.6198347107438017,0.5198236107327017,0.8399294398532796,15.0,,vlocal,2.0
0.6446280991735537,0.5461707988980716,0.8191875252763972,11.0,,simulated_local_0,2.0
0.628099173553719,0.5295405352223533,0.8126415217367609,14.0,,simulated_local_1,2.0
0.6033057851239669,0.5033409614601737,0.8150095941332117,10.0,,simulated_local_2,2.0
0.6198347107438017,0.5192354982801823,0.8221929582636932,12.0,,simulated_local_3,2.0
0.6033057851239669,0.5021900986424268,0.8084606783596666,0.0,,simulated_local_4,2.0
0.6198347107438017,0.5192354982801823,0.8208033674771676,,,fedavg,2.0
0.6115702479338843,0.5118707525725491,0.8230178562218031,1.0,,vlocal,3.0
0.6363636363636364,0.5390607031693218,0.8351718847354228,36.0,,simulated_local_0,3.0
0.6198347107438017,0.5198236107327017,0.8207204731530977,0.0,,simulated_local_1,3.0
0.6198347107438017,0.5192354982801823,0.8235272080420502,0.0,,simulated_local_2,3.0
0.6033057851239669,0.5025453529852357,0.8200103571156464,0.0,,simulated_local_3,3.0
0.6198347107438017,0.5212832133653248,0.8196539812906751,0.0,,simulated_local_4,3.0
0.6198347107438017,0.5198236107327017,0.8259706850389807,,,fedavg,3.0
0.6198347107438017,0.520506275787726,0.8528393514188877,10.0,,vlocal,4.0
0.628099173553719,0.5316366890874857,0.8294126856497732,6.0,,simulated_local_0,4.0
0.628099173553719,0.5286603179303984,0.8459569934189277,33.0,,simulated_local_1,4.0
0.5950413223140496,0.4946064478395664,0.8268106139209335,0.0,,simulated_local_2,4.0
0.6198347107438017,0.5198236107327017,0.835238476420907,34.0,,simulated_local_3,4.0
0.6115702479338843,0.5131030585576041,0.8242940258852417,10.0,,simulated_local_4,4.0
0.6198347107438017,0.5198236107327017,0.8368032526376897,,,fedavg,4.0
0.6198347107438017,0.5231193246775243,0.8398686227264279,4.0,,vlocal,5.0
0.6528925619834711,0.5551146448544599,0.8418671629708343,24.0,,simulated_local_0,5.0
0.6198347107438017,0.5221542514630166,0.8602307400650394,15.0,,simulated_local_1,5.0
0.6115702479338843,0.5076213499024284,0.8424698169176511,21.0,,simulated_local_2,5.0
0.6033057851239669,0.5049991767530674,0.8357569363596604,6.0,,simulated_local_3,5.0
0.6033057851239669,0.5012910223553239,0.8404710622779412,2.0,,simulated_local_4,5.0
0.6115702479338843,0.5131030585576041,0.8423511737857624,,,fedavg,5.0
0.6198347107438017,0.520506275787726,0.8443304007755785,1.0,,vlocal,6.0
0.628099173553719,0.5305489964580874,0.8451286589571045,0.0,,simulated_local_0,6.0
0.6198347107438017,0.5231193246775243,0.8509768228570637,27.0,,simulated_local_1,6.0
0.6115702479338843,0.5076213499024284,0.8378050719216709,5.0,,simulated_local_2,6.0
0.6115702479338843,0.5131030585576041,0.8448833813850354,6.0,,simulated_local_3,6.0
0.6033057851239669,0.5015632779050084,0.8464578061833852,36.0,,simulated_local_4,6.0
0.6115702479338843,0.5131030585576041,0.8460992811607485,,,fedavg,6.0
0.6115702479338843,0.5120174543956314,0.849273168071548,19.0,,vlocal,7.0
0.6198347107438017,0.5241784730421094,0.8582085974570169,30.0,,simulated_local_0,7.0
0.6198347107438017,0.520506275787726,0.8492018619387997,3.0,,simulated_local_1,7.0
0.5950413223140496,0.49616709149513366,0.8416066832864019,0.0,,simulated_local_2,7.0
0.6115702479338843,0.5119441034840903,0.8462140616704253,10.0,,simulated_local_3,7.0
0.6115702479338843,0.5081748481529424,0.8492781341481724,15.0,,simulated_local_4,7.0
0.5950413223140496,0.4981276009335855,0.8502624695394407,,,fedavg,7.0
0.6115702479338843,0.5131030585576041,0.8560703167895654,2.0,,vlocal,8.0
0.628099173553719,0.5328201904353025,0.8610561850782757,26.0,,simulated_local_0,8.0
0.6198347107438017,0.5231193246775243,0.8535692354477367,1.0,,simulated_local_1,8.0
0.5950413223140496,0.49252084995344353,0.8451699140766634,6.0,,simulated_local_2,8.0
0.6033057851239669,0.5050725276646084,0.8472426716779403,14.0,,simulated_local_3,8.0
0.6033057851239669,0.5043826696719259,0.851412359662483,7.0,,simulated_local_4,8.0
0.5950413223140496,0.4981276009335855,0.852465052360952,,,fedavg,8.0
0.6033057851239669,0.5067255976346885,0.858348220055941,14.0,,vlocal,9.0
0.6198347107438017,0.5201667019848838,0.8523666095548057,12.0,,simulated_local_0,9.0
0.6033057851239669,0.5043826696719259,0.8497963153770146,12.0,,simulated_local_1,9.0
0.6115702479338843,0.5091082996391462,0.8447888834402082,3.0,,simulated_local_2,9.0
0.6115702479338843,0.5112697220135236,0.8447755142638097,20.0,,simulated_local_3,9.0
0.6033057851239669,0.5013139353315306,0.8459057602229669,9.0,,simulated_local_4,9.0
0.5950413223140496,0.49675490101407865,0.8488446987238374,,,fedavg,9.0
0.6033057851239669,0.5050725276646084,0.8555752849835863,2.0,,vlocal,10.0
0.6198347107438017,0.5241784730421094,0.8625175651756212,8.0,,simulated_local_0,10.0
0.6033057851239669,0.5067255976346885,0.8515397793346074,18.0,,simulated_local_1,10.0
0.5950413223140496,0.49675490101407865,0.8504129333153461,2.0,,simulated_local_2,10.0
0.6033057851239669,0.5043826696719259,0.8497407903426958,8.0,,simulated_local_3,10.0
0.6033057851239669,0.5043826696719259,0.8482567706315427,21.0,,simulated_local_4,10.0
0.6033057851239669,0.5050725276646084,0.8529437930773436,,,fedavg,10.0
0.6115702479338843,0.5128573874336587,0.8606677660136579,23.0,,vlocal,11.0
0.6115702479338843,0.5178079496261314,0.8681288233527027,12.0,,simulated_local_0,11.0
0.6033057851239669,0.5067255976346885,0.8557408934777941,48.0,,simulated_local_1,11.0
0.6033057851239669,0.5013139353315306,0.8524650374332481,0.0,,simulated_local_2,11.0
0.6198347107438017,0.51744471320108,0.8570202087420369,45.0,,simulated_local_3,11.0
0.5950413223140496,0.4934382156726078,0.8456158974039174,33.0,,simulated_local_4,11.0
0.6033057851239669,0.5058536053913557,0.8574945916598965,,,fedavg,11.0
0.6115702479338843,0.5164224746937117,0.8678636126123273,49.0,,vlocal,12.0
0.6033057851239669,0.5067255976346885,0.8612120789241997,0.0,,simulated_local_0,12.0
0.6115702479338843,0.5106145786474293,0.8657501974580708,26.0,,simulated_local_1,12.0
0.6033057851239669,0.5058536053913557,0.8590185570609429,0.0,,simulated_local_2,12.0
0.6115702479338843,0.5112697220135236,0.8576640366505418,12.0,,simulated_local_3,12.0
0.6033057851239669,0.5029412413393283,0.8497400528963504,0.0,,simulated_local_4,12.0
0.6033057851239669,0.5050725276646084,0.8614834920957124,,,fedavg,12.0
0.6115702479338843,0.5187393446552858,0.8698143391925491,35.0,,vlocal,13.0
