test_acc,test_f1,test_auc,best_epoch,fold,model,iter
0.6033057851239669,0.5012910223553239,0.8346110815828963,44.0,traditional,,
0.5950413223140496,0.502930477660545,0.8207077182167685,39.0,,vlocal,0.0
0.5537190082644629,0.47596087105401985,0.776331003713918,49.0,,simulated_local_0,0.0
0.5785123966942148,0.4925167322503615,0.7461645776209178,29.0,,simulated_local_1,0.0
0.3884297520661157,0.3381872268813875,0.5773069702050521,3.0,,simulated_local_2,0.0
0.47107438016528924,0.39302112029384756,0.6336382814949894,12.0,,simulated_local_3,0.0
0.4297520661157025,0.3318134321269118,0.5681080585478018,6.0,,simulated_local_4,0.0
0.6115702479338843,0.5110133956995275,0.784420187344676,,,fedavg,0.0
0.6198347107438017,0.5201667019848838,0.8371737863455032,26.0,,vlocal,1.0
0.628099173553719,0.5339393939393939,0.8007536631594713,48.0,,simulated_local_0,1.0
0.6198347107438017,0.5258881028289745,0.8011730303800538,28.0,,simulated_local_1,1.0
0.5950413223140496,0.4933248569612206,0.7906417133092718,0.0,,simulated_local_2,1.0
0.6033057851239669,0.5010330578512396,0.7848922133264433,0.0,,simulated_local_3,1.0
0.5619834710743802,0.45974057979631383,0.7806891878721824,2.0,,simulated_local_4,1.0
0.6115702479338843,0.5113949411470073,0.8035249791350548,,,fedavg,1.0
0.6198347107438017,0.5221542514630166,0.822191842958042,16.0,,vlocal,2.0
0.6363636363636364,0.5400550964187327,0.8143271918308134,44.0,,simulated_local_0,2.0
0.628099173553719,0.5324028160391797,0.8057887763831676,43.0,,simulated_local_1,2.0
0.6115702479338843,0.5098259511749249,0.8030686637459239,0.0,,simulated_local_2,2.0
0.6198347107438017,0.5171065493646139,0.8098168496858612,32.0,,simulated_local_3,2.0
0.6033057851239669,0.5039838526198277,0.8138425165530089,0.0,,simulated_local_4,2.0
0.6198347107438017,0.5192354982801823,0.8115915553981476,,,fedavg,2.0
0.6033057851239669,0.5063825063825064,0.8397507821629423,10.0,,vlocal,3.0
0.6363636363636364,0.5413356968662032,0.8248228976748091,46.0,,simulated_local_0,3.0
0.628099173553719,0.5336118998475888,0.8145171179886023,7.0,,simulated_local_1,3.0
0.6115702479338843,0.5118707525725491,0.8162043074979491,0.0,,simulated_local_2,3.0
