test_acc,test_f1,test_auc,best_epoch,fold,model,iter
0.6033057851239669,0.5012910223553239,0.8179679148990714,30.0,traditional,,
0.6115702479338843,0.5124402733031392,0.8233635583074983,39.0,,vlocal,0.0
0.5785123966942148,0.49405015478117636,0.7794349733185444,49.0,,simulated_local_0,0.0
0.6198347107438017,0.5195522073673907,0.7469082173597069,40.0,,simulated_local_1,0.0
0.3884297520661157,0.3417112299465241,0.5390620102882518,2.0,,simulated_local_2,0.0
0.5206611570247934,0.4295022500556097,0.6211574797937395,10.0,,simulated_local_3,0.0
0.4132231404958678,0.3338591159158235,0.524093040062593,4.0,,simulated_local_4,0.0
0.5619834710743802,0.460136120563928,0.7770685062590227,,,fedavg,0.0
0.6198347107438017,0.5212832133653248,0.8153659978319566,25.0,,vlocal,1.0
0.628099173553719,0.5260307232572256,0.7807270079353679,1.0,,simulated_local_0,1.0
0.628099173553719,0.5312906148450921,0.8232618767656104,37.0,,simulated_local_1,1.0
0.49586776859504134,0.3815804642250923,0.7786056755043289,0.0,,simulated_local_2,1.0
0.5619834710743802,0.45832514592845175,0.7941905656975421,46.0,,simulated_local_3,1.0
0.5537190082644629,0.44940886134067953,0.7799635897146565,0.0,,simulated_local_4,1.0
0.6033057851239669,0.5021566978140588,0.8033213631566817,,,fedavg,1.0
0.6198347107438017,0.5198236107327017,0.8274592383830262,16.0,,vlocal,2.0
0.6363636363636364,0.5359110586383314,0.814210350634699,43.0,,simulated_local_0,2.0
0.6363636363636364,0.5359944877919219,0.8084142600976829,13.0,,simulated_local_1,2.0
0.6033057851239669,0.5025453529852357,0.8059452515964073,0.0,,simulated_local_2,2.0
0.5950413223140496,0.49180558889725506,0.8089656604488926,11.0,,simulated_local_3,2.0
0.6033057851239669,0.4999143237507744,0.8055335135011609,3.0,,simulated_local_4,2.0
0.6115702479338843,0.5103896554005728,0.814845032722737,,,fedavg,2.0
0.6115702479338843,0.5124402733031392,0.8230745879439686,10.0,,vlocal,3.0
0.6446280991735537,0.5424320693491207,0.811074135196409,10.0,,simulated_local_0,3.0
0.6363636363636364,0.53516638439778,0.8215868595622534,17.0,,simulated_local_1,3.0
0.6115702479338843,0.5113949411470073,0.8148697337820606,0.0,,simulated_local_2,3.0
0.6033057851239669,0.49968213604577244,0.8247074211892682,12.0,,simulated_local_3,3.0
