test_acc,test_f1,test_auc,best_f1,best_auc,best_epoch,fold,model,iter
0.8512396694214877,0.8433293978748523,0.9333473348301632,0.8433293978748523,0.9333473348301632,36.0,,simulated_local_3,10.0
0.8347107438016529,0.8199129496569919,0.9290283330027582,0.8199129496569919,0.9290283330027582,9.0,,simulated_local_4,10.0
0.859504132231405,0.8515490570036024,0.9487499253355715,,,,,fedavg,10.0
0.859504132231405,0.8562448387241776,0.946830954017433,0.8562448387241776,0.946830954017433,27.0,,vlocal,11.0
0.859504132231405,0.8525055652418388,0.9515888007226655,0.8525055652418388,0.9515888007226655,7.0,,simulated_local_0,11.0
0.8512396694214877,0.8454707502835844,0.9569877508585942,0.8454707502835844,0.9569877508585942,35.0,,simulated_local_1,11.0
0.8677685950413223,0.8651689732004154,0.9498582547550398,0.8651689732004154,0.9498582547550398,14.0,,simulated_local_2,11.0
0.859504132231405,0.8532739887701661,0.9465076102216979,0.8532739887701661,0.9465076102216979,20.0,,simulated_local_3,11.0
0.8264462809917356,0.8154523162787626,0.9471039110923516,0.8154523162787626,0.9471039110923516,43.0,,simulated_local_4,11.0
0.859504132231405,0.855260992451075,0.9562978408006142,,,,,fedavg,11.0
0.859504132231405,0.851297040632487,0.9545447240986933,0.851297040632487,0.9545447240986933,42.0,,vlocal,12.0
0.8677685950413223,0.8643695698241153,0.95374155800538,0.8643695698241153,0.95374155800538,12.0,,simulated_local_0,12.0
0.859504132231405,0.8560290555568004,0.9464429845847315,0.8560290555568004,0.9464429845847315,33.0,,simulated_local_1,12.0
0.8677685950413223,0.8635347336646036,0.947751003120998,0.8635347336646036,0.947751003120998,32.0,,simulated_local_2,12.0
0.8429752066115702,0.8350390961961208,0.9332023384342099,0.8350390961961208,0.9332023384342099,35.0,,simulated_local_3,12.0
0.8512396694214877,0.8478421643817273,0.9479073434370116,0.8478421643817273,0.9479073434370116,39.0,,simulated_local_4,12.0
0.8677685950413223,0.8619850758244403,0.9539237845548018,,,,,fedavg,12.0
0.8677685950413223,0.8636910139302483,0.9528470817950746,0.8636910139302483,0.9528470817950746,14.0,,vlocal,13.0
0.8429752066115702,0.8361862230866632,0.950184238969711,0.8361862230866632,0.950184238969711,9.0,,simulated_local_0,13.0
0.859504132231405,0.8517999091001844,0.9417627070906398,0.8517999091001844,0.9417627070906398,25.0,,simulated_local_1,13.0
0.8512396694214877,0.8465330676772884,0.9411542505046544,0.8465330676772884,0.9411542505046544,15.0,,simulated_local_2,13.0
0.8512396694214877,0.8374152970753626,0.9428130377892252,0.8374152970753626,0.9428130377892252,10.0,,simulated_local_3,13.0
0.8429752066115702,0.836432793449563,0.9310270004578098,0.836432793449563,0.9310270004578098,27.0,,simulated_local_4,13.0
0.8429752066115702,0.8354481881754608,0.9501982639053472,,,,,fedavg,13.0
0.8842975206611571,0.8787340664166204,0.9502428027815053,0.8787340664166204,0.9502428027815053,11.0,,vlocal,14.0
0.8842975206611571,0.8834097491122284,0.9544958797899984,0.8834097491122284,0.9544958797899984,13.0,,simulated_local_0,14.0
0.8512396694214877,0.8377612871410661,0.9436519313656525,0.8377612871410661,0.9436519313656525,19.0,,simulated_local_1,14.0
0.8347107438016529,0.8223159760349842,0.9398104562469471,0.8223159760349842,0.9398104562469471,25.0,,simulated_local_2,14.0
0.8512396694214877,0.8442969217455756,0.9310821412800837,0.8442969217455756,0.9310821412800837,29.0,,simulated_local_3,14.0
0.8429752066115702,0.8340224364600666,0.9275356339153347,0.8340224364600666,0.9275356339153347,38.0,,simulated_local_4,14.0
0.8677685950413223,0.8585208694654898,0.9499884450393149,,,,,fedavg,14.0
0.8842975206611571,0.879724950062893,0.9497979308263513,0.879724950062893,0.9497979308263513,25.0,,vlocal,15.0
0.8429752066115702,0.8308863806290906,0.9487821966870507,0.8308863806290906,0.9487821966870507,13.0,,simulated_local_0,15.0
0.8677685950413223,0.8608606820177068,0.951310034517681,0.8608606820177068,0.951310034517681,34.0,,simulated_local_1,15.0
0.8347107438016529,0.8300822447072055,0.9510008401341531,0.8300822447072055,0.9510008401341531,21.0,,simulated_local_2,15.0
0.859504132231405,0.8514669539618861,0.936297367110172,0.8514669539618861,0.936297367110172,41.0,,simulated_local_3,15.0
0.8181818181818182,0.8106394681258239,0.9178016586031477,0.8106394681258239,0.9178016586031477,24.0,,simulated_local_4,15.0
0.8429752066115702,0.8348342682400968,0.9435799483750104,,,,,fedavg,15.0
0.859504132231405,0.8534859080313626,0.9518347707312877,0.8534859080313626,0.9518347707312877,24.0,,vlocal,16.0
0.8677685950413223,0.8616320318799657,0.9483504304150498,0.8616320318799657,0.9483504304150498,3.0,,simulated_local_0,16.0
