test_acc,test_f1,test_auc,best_epoch,fold,model,iter
0.6198347107438017,0.5158751317109088,0.798969816307334,27.0,traditional,,
0.6115702479338843,0.508791179382878,0.8107107946337336,13.0,,vlocal,0.0
0.5041322314049587,0.39747095010252903,0.7877267641257247,46.0,,simulated_local_0,0.0
0.4132231404958678,0.2509641873278237,0.6226007034180016,1.0,,simulated_local_1,0.0
0.4132231404958678,0.24165095935430864,0.6501822006575995,1.0,,simulated_local_2,0.0
0.47107438016528924,0.34814105038083953,0.8052594052178459,49.0,,simulated_local_3,0.0
0.4132231404958678,0.24165095935430864,0.6480139123339135,1.0,,simulated_local_4,0.0
0.4380165289256198,0.2921880488166984,0.7931149501632461,,,fedavg,0.0
0.5950413223140496,0.4919735530702427,0.8267951302406537,27.0,,vlocal,1.0
0.5950413223140496,0.4948082220809494,0.8093327917928805,42.0,,simulated_local_0,1.0
0.5454545454545454,0.4461540089522862,0.7989005808776369,30.0,,simulated_local_1,1.0
0.5454545454545454,0.4431370282609952,0.7950011791849817,48.0,,simulated_local_2,1.0
0.628099173553719,0.5237646487944746,0.818850990562554,41.0,,simulated_local_3,1.0
0.4132231404958678,0.24165095935430864,0.7828857233776416,0.0,,simulated_local_4,1.0
0.5537190082644629,0.4511424404472533,0.8161171570485759,,,fedavg,1.0
0.6033057851239669,0.5138049294512391,0.8627606493125897,47.0,,vlocal,2.0
0.628099173553719,0.5236682266255103,0.8308588434595762,35.0,,simulated_local_0,2.0
0.6033057851239669,0.5001826881252718,0.845431224900385,49.0,,simulated_local_1,2.0
0.5950413223140496,0.49202841815282,0.8153930804694499,4.0,,simulated_local_2,2.0
0.6033057851239669,0.5015632779050084,0.8383469532016415,48.0,,simulated_local_3,2.0
0.5289256198347108,0.42190454917727643,0.8150411706523455,0.0,,simulated_local_4,2.0
0.5867768595041323,0.4840261502405329,0.8526342232435808,,,fedavg,2.0
0.6115702479338843,0.520217156580793,0.8500833916198666,27.0,,vlocal,3.0
0.6115702479338843,0.5092102423480722,0.8585006422026364,6.0,,simulated_local_0,3.0
0.6033057851239669,0.49974805964964314,0.8534881978591666,3.0,,simulated_local_1,3.0
0.6033057851239669,0.4997149486137096,0.8582423169959082,19.0,,simulated_local_2,3.0
0.6115702479338843,0.5075227802500529,0.8663420634354956,15.0,,simulated_local_3,3.0
0.5785123966942148,0.47647725042418354,0.8526667270176127,0.0,,simulated_local_4,3.0
0.5950413223140496,0.4918673468042759,0.8585383465731915,,,fedavg,3.0
0.6033057851239669,0.5233140625732252,0.8684289861882433,48.0,,vlocal,4.0
0.6033057851239669,0.500071099927936,0.8641100002613392,47.0,,simulated_local_0,4.0
0.6033057851239669,0.4997149486137096,0.8645428648465046,7.0,,simulated_local_1,4.0
0.6033057851239669,0.49974805964964314,0.8575517011537941,16.0,,simulated_local_2,4.0
0.6033057851239669,0.500391946068221,0.8668783039304582,2.0,,simulated_local_3,4.0
0.5867768595041323,0.4840261502405329,0.8583856127919827,0.0,,simulated_local_4,4.0
0.5950413223140496,0.4919735530702427,0.8600099039805867,,,fedavg,4.0
0.628099173553719,0.5522248112696204,0.874783196243215,47.0,,vlocal,5.0
0.6033057851239669,0.5048627456853481,0.8639597866835788,39.0,,simulated_local_0,5.0
0.6033057851239669,0.5053543701477586,0.8627272188084705,5.0,,simulated_local_1,5.0
0.5950413223140496,0.4943350864012021,0.8608337006919664,23.0,,simulated_local_2,5.0
0.6033057851239669,0.5074758690303451,0.8706350787251982,38.0,,simulated_local_3,5.0
0.6033057851239669,0.5077072847407775,0.8508704229191856,32.0,,simulated_local_4,5.0
0.6033057851239669,0.5049414337686371,0.8648402395529139,,,fedavg,5.0
0.628099173553719,0.5457810427507396,0.8743628009221891,49.0,,vlocal,6.0
0.6115702479338843,0.518897806176809,0.867415625422993,49.0,,simulated_local_0,6.0
0.6033057851239669,0.5084268483125821,0.8700928010540958,12.0,,simulated_local_1,6.0
0.628099173553719,0.5424564416299953,0.868409566700578,6.0,,simulated_local_2,6.0
0.6115702479338843,0.5226801966732922,0.8673364609044989,44.0,,simulated_local_3,6.0
0.6033057851239669,0.5089187215253368,0.8631373266702085,20.0,,simulated_local_4,6.0
0.6198347107438017,0.5323212055732506,0.870436565159795,,,fedavg,6.0
