round,loss
1,79.06304677327473
2,78.91870371500652
3,78.75930277506511
4,78.58774820963542
5,78.40128072102864
6,78.20220692952473
7,77.99474843343098
8,77.7811787923177
9,77.55958302815755
10,77.33339945475261
11,77.10618082682292
12,76.88025156656902
13,76.65843200683594
14,76.44136810302734
15,76.22741190592448
16,76.01839192708333
17,75.81856791178386
18,75.62569681803386
19,75.44320170084636
20,75.27025095621745
21,75.10690816243489
22,74.95370483398438
23,74.8108393351237
24,74.67701212565105
25,74.55281321207683
26,74.43856557210286
27,74.33361307779948
28,74.23775736490886
29,74.14994303385417
30,74.06997934977214
31,73.99613189697266
32,73.93006642659505
33,73.87147013346355
34,73.82032267252605
35,73.77639261881511
36,73.73850758870442
37,73.70612335205078
38,73.67831929524739
39,73.65547434488933
40,73.6376444498698
41,73.62486521402995
42,73.61648559570312
43,73.6144282023112
44,73.6163838704427
45,73.62206776936848
46,73.63034566243489
47,73.6430155436198
48,73.6594467163086
49,73.68106079101562
50,73.70587666829427
