round,loss
1,79.06008911132812
2,78.9158426920573
3,78.75637308756511
4,78.58447774251302
5,78.39746856689453
6,78.19809977213542
7,77.99041493733723
8,77.77669016520183
9,77.55472310384114
10,77.32836659749348
11,77.10092417399089
12,76.87504069010417
13,76.65323130289714
14,76.43617757161458
15,76.22229512532552
16,76.01345316569011
17,75.81380971272786
18,75.62085723876953
19,75.43845113118489
20,75.26583353678386
21,75.10281372070312
22,74.94983927408855
23,74.80703226725261
24,74.6731694539388
25,74.54905954996745
26,74.43498992919922
27,74.33027903238933
28,74.2347183227539
29,74.14756266276042
30,74.0674819946289
31,73.99348958333333
32,73.92759450276692
33,73.86905415852864
34,73.8179423014323
35,73.77390034993489
36,73.73606618245442
37,73.70354970296223
38,73.67553456624348
39,73.65284983317058
40,73.63482666015625
41,73.62181854248047
42,73.61294809977214
43,73.61094411214192
44,73.6128921508789
45,73.61858367919922
46,73.6267598470052
47,73.63939921061198
48,73.6557108561198
49,73.67724100748698
50,73.70223744710286
