round,loss
1,71.16900126139323
2,56.19825871785482
3,44.89907709757487
4,36.40869903564453
5,30.05987803141276
6,25.3360169728597
7,21.875404993693035
8,19.36825688680013
9,17.554741541544598
10,16.235978444417317
11,15.25994841257731
12,14.51033624013265
13,13.909343083699545
14,13.414044062296549
15,12.992512067159018
16,12.625609397888184
17,12.310769399007162
18,12.027060190836588
19,11.77494748433431
20,11.54345734914144
21,11.338849703470865
22,11.145553270975748
23,10.97259489695231
24,10.804511388142904
25,10.661282857259115
26,10.509090105692545
27,10.38769563039144
28,10.248273213704428
29,10.148089408874512
30,10.015795389811197
31,9.932466506958008
32,9.802106857299805
33,9.735126495361328
34,9.60578695933024
35,9.554335912068685
36,9.419404983520508
37,9.383405685424805
38,9.245391845703125
39,9.222119649251303
40,9.081755797068277
41,9.067392667134603
42,8.932602405548096
43,8.923347473144531
44,8.792401313781738
45,8.786562283833822
46,8.663212458292643
47,8.658120473225912
48,8.538278102874756
49,8.535401980082193
50,8.421366373697916
