round,loss
1,2.786811351776123
2,2.667817751566569
3,2.556004762649536
4,2.4509376684824624
5,2.349654197692871
6,2.2510105768839517
7,2.1553627649943032
8,2.0622495810190835
9,1.9719456036885579
10,1.886011799176534
11,1.805612325668335
12,1.731543739636739
13,1.66334064801534
14,1.6038204034169514
15,1.549616813659668
16,1.5017015933990479
17,1.4600941737492878
18,1.4228185017903645
19,1.3885217507680256
20,1.3600050210952759
21,1.333328127861023
22,1.3094170888264973
23,1.2881494760513306
24,1.269249677658081
25,1.252071777979533
26,1.239875316619873
27,1.229013482729594
28,1.2221314907073975
29,1.2183767954508464
30,1.2181915839513142
31,1.2212158838907878
32,1.2282910346984863
33,1.2371087471644084
34,1.2476629416147869
35,1.2603660821914673
36,1.2743111848831177
37,1.2901642719904582
38,1.3069793780644734
39,1.3244597911834717
40,1.343369960784912
41,1.3627607425053914
42,1.3834396998087566
43,1.4037542343139648
44,1.4281582434972127
45,1.4514599641164143
46,1.4770690600077312
47,1.503950834274292
48,1.5308369000752766
49,1.5588550567626953
50,1.589536468187968
