round,loss
1,2.2131053606669107
2,2.1561288833618164
3,2.10613481203715
4,2.0614401499430337
5,2.021507740020752
6,1.9849767684936523
7,1.9506146510442097
8,1.9187534650166829
9,1.8880273898442586
10,1.8588157097498577
11,1.831262230873108
12,1.8060450156529744
13,1.7819414933522542
14,1.7593204577763875
15,1.7372204462687175
16,1.7173742453257244
17,1.6975191036860149
18,1.6797000169754028
19,1.6627880732218425
20,1.6471314430236816
21,1.634144941965739
22,1.6231063604354858
23,1.6139362653096516
24,1.6042118867238362
25,1.5972940921783447
26,1.59323783715566
27,1.590638518333435
28,1.5903563896814983
29,1.5904335578282673
30,1.5925250848134358
31,1.5957250992457073
32,1.5999831358591716
33,1.605811357498169
34,1.612938682238261
35,1.6208821535110474
36,1.6300686597824097
37,1.639625112215678
38,1.6501320600509644
39,1.6607438723246257
40,1.673122763633728
41,1.6863071123758953
42,1.7002196311950684
43,1.7156951824824016
44,1.731691837310791
45,1.747672478357951
46,1.7641538381576538
47,1.7814552783966064
48,1.8008402188618977
49,1.8198099931081135
50,1.8393272558848064
