round,loss
1,4.4683731396993
2,4.203617890675862
3,3.9713846842447915
4,3.765294075012207
5,3.578747034072876
6,3.407184362411499
7,3.2475715478261313
8,3.0972981452941895
9,2.9545950889587402
10,2.8182626565297446
11,2.687551975250244
12,2.5622638861338296
13,2.44289223353068
14,2.330134630203247
15,2.224663257598877
16,2.127065102259318
17,2.037439743677775
18,1.9555461406707764
19,1.8807470401128132
20,1.8123985131581624
21,1.749694546063741
22,1.6920427481333415
23,1.639006535212199
24,1.590107838312785
25,1.545242468516032
26,1.5040464003880818
27,1.4663786093393962
28,1.4320108493169148
29,1.400630275408427
30,1.3723413944244385
31,1.3461734056472778
32,1.3229096333185832
33,1.3014925718307495
34,1.2831802368164062
35,1.266738494237264
36,1.253338615099589
37,1.2412660519282024
38,1.2315727074940999
39,1.222167730331421
40,1.2146167357762654
41,1.2074011166890461
42,1.2014951308568318
43,1.1956172784169514
44,1.1909276644388835
45,1.1861722469329834
46,1.1821870803833008
47,1.1783819993336995
48,1.1749945878982544
49,1.1718072096506755
50,1.1691786448160808
