round,loss
1,76.1163838704427
2,53.469312032063804
3,37.66083653767904
4,27.476763407389324
5,20.87502161661784
6,16.60285250345866
7,13.852614402770996
8,12.07574717203776
9,10.915784200032553
10,10.128883997599283
11,9.579392115275065
12,9.186832110087076
13,8.847408294677734
14,8.60727564493815
15,8.3011261622111
16,8.151998202006022
17,7.885000387827556
18,7.758950392405192
19,7.562883059183757
20,7.448124090830485
21,7.270761648813884
22,7.180261452992757
23,7.025684197743733
24,6.946589310963948
25,6.810670057932536
26,6.743423302968343
27,6.62252410252889
28,6.557992140452067
29,6.4533975919087725
30,6.389029820760091
31,6.297575155893962
32,6.235440095265706
33,6.15329647064209
34,6.0899990399678545
35,6.014468193054199
36,5.955639839172363
37,5.88791036605835
38,5.8348008791605634
39,5.7707516352335615
40,5.717431863149007
41,5.659207661946614
42,5.610004901885986
43,5.555362701416016
44,5.508472124735515
45,5.45682414372762
46,5.416053930918376
47,5.365823904673259
48,5.328083674112956
49,5.282268683115642
50,5.246031284332275
