round,loss
1,71.9532699584961
2,49.044219970703125
3,34.59960047403971
4,25.62724240620931
5,19.92975107828776
6,16.30347220102946
7,13.9516232808431
8,12.399751981099447
9,11.333695729573568
10,10.592907269795736
11,10.047529856363932
12,9.625811258951822
13,9.287492752075195
14,8.994547843933105
15,8.74925676981608
16,8.513189315795898
17,8.323877970377604
18,8.123806317647299
19,7.967226982116699
20,7.802590370178223
21,7.660072008768718
22,7.522292137145996
23,7.397500673929851
24,7.282960573832194
25,7.168701648712158
26,7.074294090270996
27,6.964181423187256
28,6.88602336247762
29,6.779468218485515
30,6.716414292653401
31,6.613311767578125
32,6.562016010284424
33,6.462897777557373
34,6.418918450673421
35,6.323057174682617
36,6.285525639851888
37,6.196886698404948
38,6.157136599222819
39,6.072418053944905
40,6.043150583902995
41,5.9701774915059405
42,5.929447650909424
43,5.857104937235515
44,5.827343622843425
45,5.766094048817952
46,5.7280270258585615
47,5.666466236114502
48,5.6369045575459795
49,5.581158955891927
50,5.5497199694315595
