round,loss
1,86.24901580810547
2,86.4012934366862
3,86.52625528971355
4,86.62257893880208
5,86.69076029459636
6,86.73100026448567
7,86.74459838867188
8,86.73324076334636
9,86.69689432779948
10,86.63611602783203
11,86.55347696940105
12,86.4524917602539
13,86.33139292399089
14,86.19298044840495
15,86.03874969482422
16,85.87037913004558
17,85.68780771891277
18,85.49268341064453
19,85.28820292154948
20,85.07396697998047
21,84.8579813639323
22,84.63969167073567
23,84.42503102620442
24,84.21288045247395
25,84.0074971516927
26,83.80733489990234
27,83.60917154947917
28,83.4207026163737
29,83.23880767822266
30,83.06521352132161
31,82.90465291341145
32,82.75327555338542
33,82.61129506429036
34,82.48456573486328
35,82.36801656087239
36,82.26424153645833
37,82.1710205078125
38,82.08588409423828
39,82.01002502441406
40,81.94155883789062
41,81.88121287027995
42,81.83042399088542
43,81.78470611572266
44,81.74565887451172
45,81.71578725179036
46,81.69348653157552
47,81.67496999104817
48,81.66124471028645
49,81.65243530273438
50,81.6496073404948
